"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","72.103.110.15","192.0.0.1","SSL","128","Continuation Data"
"2","0.000118","172.53.16.54","192.0.0.1","SSL","128","Continuation Data"
"3","0.000237","86.26.136.27","192.0.0.1","SSL","128","Continuation Data"
"4","0.000355","163.11.227.60","192.0.0.1","SSL","128","Continuation Data"
"5","0.000474","81.133.241.158","192.0.0.1","SSL","128","Continuation Data"
"6","0.000592","40.194.248.207","192.0.0.1","SSL","128","Continuation Data"
"7","0.000710","156.103.219.86","192.0.0.1","SSL","128","Continuation Data"
"8","0.000829","78.51.237.171","192.0.0.1","SSL","128","Continuation Data"
"9","0.000947","175.31.81.228","192.0.0.1","SSL","128","Continuation Data"
"10","0.001066","87.143.168.242","192.0.0.1","SSL","128","Continuation Data"
"11","0.001184","43.199.212.121","192.0.0.1","SSL","128","Continuation Data"
"12","0.001302","157.229.77.13","192.0.0.1","SSL","128","Continuation Data"
"13","0.001421","198.244.1.183","192.0.0.1","SSL","128","Continuation Data"
"14","0.001539","235.124.167.234","192.0.0.1","SSL","128","Continuation Data"
"15","0.001658","117.190.83.245","192.0.0.1","SSL","128","Continuation Data"
"16","0.001776","178.217.142.203","192.0.0.1","SSL","128","Continuation Data"
"17","0.001894","209.106.96.84","192.0.0.1","SSL","128","Continuation Data"
"18","0.002013","104.181.48.42","192.0.0.1","SSL","128","Continuation Data"
"19","0.002131","52.90.152.21","192.0.0.1","SSL","128","Continuation Data"
"20","0.002250","146.43.235.59","192.0.0.1","SSL","128","Continuation Data"
"21","0.002368","193.19.82.172","192.0.0.1","SSL","128","Continuation Data"
"22","0.002486","96.137.169.86","192.0.0.1","SSL","128","Continuation Data"
"23","0.002605","48.68.212.171","192.0.0.1","SSL","128","Continuation Data"
"24","0.002723","144.36.205.100","192.0.0.1","SSL","128","Continuation Data"
"25","0.002842","72.18.102.178","192.0.0.1","SSL","128","Continuation Data"
"26","0.002960","36.9.51.89","192.0.0.1","SSL","128","Continuation Data"
"27","0.003078","154.2.62.157","192.0.0.1","SSL","128","Continuation Data"
