"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","44.122.126.157","192.0.0.1","FTP","128","Request: \\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\0001:\357\277\275\357\277\275""\\037\357\277\275;\357\277\275?\357\277\275\357\277\275\323\205\357\277\275\\024\\v\357\277\275\\036\\005"
"2","0.000118","158.59.152.127","192.0.0.1","FTP","128","Request: \\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\0000Kk\357\277\275\357\277\275f\\021\357\277\275\\f\357\277\275F6'\\034\357\277\275E{-G\357\277\275"
"3","0.000236","199.27.107.14","192.0.0.1","FTP","128","Request: \\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000/J\\0327\326\276hF\357\277\275&\357\277\275\357\277\275\357\277\2752\\003 .M\357\277\275\357\277\275"
"4","0.000355","99.141.181.135","192.0.0.1","FTP","128","Request: \\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000.;\357\277\275\\033\\016\307\252\357\277\275x\357\277\275\\f]<\357\277\275fq\357\277\275\357\277\275\\001\357\277\275"
"5","0.000473","185.192.125.242","192.0.0.1","FTP","128","Request: \\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000-\357\277\275\357\277\275nfM\357\277\2759$\357\277\275\357\277\275k#\\034\311\203\357\277\275TJ\357\277\275"
"6","0.000592","92.224.62.249","192.0.0.1","FTP","128","Request: \\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000,\357\277\275xB\357\277\2754/\357\277\275\357\277\275Q\\003\357\277\275\331\265\357\277\275\322\270(\317\225"
"7","0.000710","166.118.184.77","192.0.0.1","FTP","128","Request: \\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000+\357\277\275o \357\277\275\\006W\357\277\275\\022\357\277\275\357\277\275\357\277\27575\357\277\275"
"8","0.000828","219.61.251.23","192.0.0.1","FTP","128","Request: \\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000*\357\277\275b\357\277\275\357\277\275Yb\357\277\275\357\277\275l\357\277\275\\a\\021\\026\357\277\275f\\006\\016\357\277\275)"
"9","0.000947","229.152.90.186","192.0.0.1","FTP","128","Request: \\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000)\\037\\000\357\277\275\357\277\275\357\277\275%y\357\277\275\\033\\0351\\f\357\277\275%\357\277\275\\030+\357\277\275\357\277\275"
"10","0.001065","114.204.45.93","192.0.0.1","FTP","128","Request: \\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000(n\357\277\275\357\277\275\\a\357\277\275\357\277\275\357\277\275\\v\311\232\357\277\275\357\277\275\357\277\275@\357\277\275\357\277\275P\357\277\2755"
"11","0.001184","177.96.177.159","192.0.0.1","FTP","128","Request: \\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000'V\357\277\275$}\357\277\275:x\357\277\275\357\277\275?\357\277\275t\357\277\275\357\277\275_\357\277\275\357\277\275."
"12","0.001302","208.182.255.254","192.0.0.1","FTP","128","Request: \\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000&'W\\b\357\277\275\357\277\275\357\277\275\357\277\275z\\027\357\277\275\\004\357\277\275\357\277\275\357\277\275\\016\357\277\275\357\277\275q\357\277\275"
"13","0.001420","104.91.127.255","192.0.0.1","FTP","128","Request: \\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000%\357\277\2755}\357\277\275\\t\357\277\275\\a&`02\357\277\275\357\277\275T\357\277\275\357\277\275\\177-\357\277\275"
"14","0.001539","188.43.24.206","192.0.0.1","FTP","128","Request: \\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000$\357\277\275\357\277\275Q\\025p}\357\277\275\357\277\275\357\277\275l\357\277\2751\357\277\275\357\277\275\\fy\357\277\275"
"15","0.001657","94.21.140.103","192.0.0.1","FTP","128","Request: \\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000#\357\277\275/\357\277\275\357\277\275d\357\277\2758U]\357\277\275\357\277\275S$nH\\023\357\277\275\\016\357\277\275"
"16","0.001776","167.12.97.2","192.0.0.1","FTP","128","Request: \\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000""\357\277\275\357\277\275\\034\\0350\357\277\275\357\277\275\357\277\275!^\357\277\275=\\v\\031X0\357\277\275"
"17","0.001894","83.134.48.129","192.0.0.1","FTP","128","Request: \\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000!\\003\357\277\275\357\277\275t\357\277\275wG\357\277\275\357\277\275h\357\277\275\\022\357\277\275\357\277\275/\357\277\275N\357\277\275"
"18","0.002012","161.197.191.113","192.0.0.1","FTP","128","Request: \\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000 rM\316\254\357\277\275\357\277\275\\t*.\357\277\275S\\v\315\272\\022\357\277\2753D"
"19","0.002131","216.228.120.137","192.0.0.1","FTP","128","Request: \\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\037\\001p^-'\357\277\275\302\275o2e|\357\277\275\\b!\\177#\357\277\275h"
"20","0.002249","228.116.155.117","192.0.0.1","FTP","128","Request: \\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\036p\357\277\275r\357\277\275^F}v\357\277\275\357\277\275\357\277\275\357\277\275\\022mp\357\277\275\357\277\275\357\277\275\357\277\275"
"21","0.002368","250.60.234.139","192.0.0.1","FTP","128","Request: \\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\035\357\277\275\357\277\275\\a\357\277\275\357\277\275\\001\357\277\275*\357\277\275=\357\277\275\357\277\275\357\277\275\\u0082\316\216s\\025"
"22","0.002486","245.24.210.116","192.0.0.1","FTP","128","Request: \\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\034\357\277\275\\022+E\357\277\275\357\277\275\\002\357\277\275\\030\357\277\275S`,\357\277\275\357\277\275\357\277\275p\357\277\275\357\277\275"
"23","0.002604","122.140.105.58","192.0.0.1","FTP","128","Request: \\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\033\357\277\275\357\277\275T\357\277\275L\357\277\275Y\357\277\275?[\\006\357\277\2756\357\277\275A\357\277\275\\000"
"24","0.002723","61.70.52.157","192.0.0.1","FTP","128","Request: \\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\032\357\277\275\\b\357\277\275L\\u000E=\357\277\275%,\322\257\357\277\275\357\277\275gXyZm"
"25","0.002841","150.165.189.127","192.0.0.1","FTP","128","Request: \\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\031Tj\357\277\275$J\357\277\275\357\277\275\357\277\275R\357\277\275\357\277\275\\0206\357\277\275\335\200\303\207"
"26","0.002960","195.84.121.142","192.0.0.1","FTP","128","Request: \\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\030%\357\277\275\357\277\275\357\277\2753\\vB\\005\357\277\275#\\tG\357\277\275S\357\277\275\\003\\026d5"
"27","0.003078","97.170.60.199","192.0.0.1","FTP","128","Request: \\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\027\\035\357\277\275M\357\277\275c\357\277\275\357\277\275<\357\277\275@\357\277\275^\357\277\275,S\\001"
"28","0.003196","184.211.185.82","192.0.0.1","FTP","128","Request: \\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\026l=a^\\032\\024Ct^\\001\357\277\275?)\357\277\275\\017$\357\277\275\357\277\275\357\277\275"
"29","0.003315","92.105.220.169","192.0.0.1","FTP","128","Request: \\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\025\357\277\275_\\0246\357\277\275S\357\277\275()\357\277\275\357\277\275.\\036\\177\357\277\275\357\277\275CXV"
"30","0.003433","166.50.73.101","192.0.0.1","FTP","128","Request: \\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\024\357\277\275\357\277\2758\357\277\275\357\277\275<\357\277\275\357\277\275\\016"
"31","0.003552","219.31.131.131","192.0.0.1","FTP","128","Request: \\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\023\357\277\275E\357\277\275?\357\277\275\\036\357\277\275[\\024\\037f\357\277\275EI\302\271x,"
"32","0.003670","229.137.102.240","192.0.0.1","FTP","128","Request: \\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\022\332\233\357\277\275\357\277\275\357\277\275\\003\357\277\275\306\230\357\277\275\\020\357\277\275 \\030\357\277\275\312\237^"
"33","0.003788","114.196.179.120","192.0.0.1","FTP","128","Request: \\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\021H\357\277\275\\016\357\277\275\357\277\275\314\261\\020\357\277\275\\017\357\277\275\357\277\275\357\277\275\357\277\275xjN"
"34","0.003907","57.98.89.188","192.0.0.1","FTP","128","Request: \\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\0209'\357\277\275WwY|\\ac\357\277\275P\357\277\275\357\277\275R\357\277\275*"
"35","0.004025","28.177.44.222","192.0.0.1","FTP","128","Request: \\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\0178Vy{\357\277\275 \357\277\275\357\277\275\357\277\275Z\357\277\275\\021\\034>\357\277\275JlR"""
"36","0.004144","14.88.150.111","192.0.0.1","FTP","128","Request: \\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\016I\357\277\275U\357\277\275\357\277\275\357\277\275\\001sz\357\277\275;\357\277\275\\005[\357\277\275w\\037.\357\277\275"
"37","0.004262","143.42.236.6","192.0.0.1","FTP","128","Request: \\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000"
"38","0.004380","71.149.118.3","192.0.0.1","FTP","128","Request: \\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\f\357\277\2754\\f\\023%g~\357\277\275\357\277\275\357\277\275\357\277\275"
"39","0.004499","171.204.28.48","192.0.0.1","FTP","128","Request: \\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\v\357\277\275\357\277\275\357\277\275\357\277\2751\357\277\275\357\277\275\\0\303\2141q\357\277\275\357\277\275\357\277\275\326\276\357\277\275"
"40","0.004617","85.230.14.24","192.0.0.1","FTP","128","Request: \\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000"
"41","0.004736","42.243.7.12","192.0.0.1","FTP","128","Request: \\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\tmL\357\277\275r\357\277\275m\357\277\275\313\225\357\277\275W\357\277\275G\\bj\356\273\2411"
"42","0.004854","21.121.131.134","192.0.0.1","FTP","128","Request: \\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\000\\b\\034\357\277\275\357\277\275\357\277\275\357\277\275\357\277\275>\\000GK\357\277\275\\022\357\277\275m;\357\277\275\357\277\275j/"
