"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","236.200.229.42","192.0.0.1","TCP","128","46680  >  80 [ACK] Seq=1 Ack=1 Win=4096 Len=70"
"2","0.000118","118.100.114.149","192.0.0.1","TCP","128","56108  >  80 [ACK] Seq=1 Ack=1 Win=4096 Len=70"
"3","0.000237","179.52.158.123","192.0.0.1","TCP","128","28054  >  80 [ACK] Seq=1 Ack=1 Win=4096 Len=70"
"4","0.000355","209.156.232.12","192.0.0.1","TCP","128","46795  >  80 [ACK] Seq=1 Ack=1 Win=4096 Len=70"
"5","0.000474","104.206.116.6","192.0.0.1","TCP","128","64596  >  80 [ACK] Seq=1 Ack=1 Win=4096 Len=70"
"6","0.000592","52.103.58.3","192.0.0.1","TCP","128","65066  >  80 [ACK] Seq=1 Ack=1 Win=4096 Len=70"
"7","0.000710","146.53.58.48","192.0.0.1","TCP","128","32533  >  80 [ACK] Seq=1 Ack=1 Win=4096 Len=70"
"8","0.000829","73.26.157.24","192.0.0.1","TCP","128","6331  >  80 [ACK] Seq=1 Ack=1 Win=4096 Len=70"
"9","0.000947","36.141.78.140","192.0.0.1","TCP","128","43884  >  80 [ACK] Seq=1 Ack=1 Win=4096 Len=70"
"10","0.001066","18.70.167.70","192.0.0.1","TCP","128","54710  >  80 [ACK] Seq=1 Ack=1 Win=4096 Len=70"
"11","0.001184","9.35.83.163","192.0.0.1","TCP","128","27355  >  80 [ACK] Seq=1 Ack=1 Win=4096 Len=70"
"12","0.001303","140.151.14.224","192.0.0.1","TCP","128","4700  >  80 [ACK] Seq=1 Ack=1 Win=4096 Len=70"
"13","0.001421","70.75.135.112","192.0.0.1","TCP","128","35118  >  80 [ACK] Seq=1 Ack=1 Win=4096 Len=70"
"14","0.001539","35.37.195.184","192.0.0.1","TCP","128","50327  >  80 [ACK] Seq=1 Ack=1 Win=4096 Len=70"
"15","0.001658","17.146.225.220","192.0.0.1","TCP","128","17786  >  80 [ACK] Seq=1 Ack=1 Win=4096 Len=70"
"16","0.001776","8.201.112.238","192.0.0.1","TCP","128","41661  >  80 [ACK] Seq=1 Ack=1 Win=4096 Len=70"
"17","0.001895","4.100.184.119","192.0.0.1","TCP","128","63087  >  80 [ACK] Seq=1 Ack=1 Win=4096 Len=70"
"18","0.002013","138.52.251.10","192.0.0.1","TCP","128","23558  >  80 [ACK] Seq=1 Ack=1 Win=4096 Len=70"
"19","0.002131","69.26.125.133","192.0.0.1","TCP","128","44547  >  80 [ACK] Seq=1 Ack=1 Win=4096 Len=70"
"20","0.002250","170.139.153.243","192.0.0.1","TCP","128","28720  >  80 [ACK] Seq=1 Ack=1 Win=4096 Len=70"
"21","0.002368","221.67.107.200","192.0.0.1","TCP","128","47128  >  80 [ACK] Seq=1 Ack=1 Win=4096 Len=70"
"22","0.002487","110.161.181.228","192.0.0.1","TCP","128","56332  >  80 [ACK] Seq=1 Ack=1 Win=4096 Len=70"
