"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","247.225.201.97","192.0.0.1","ECHO","128","Request"
"2","0.000119","243.246.67.129","192.0.0.1","ECHO","128","Request"
"3","0.000237","241.253.134.241","192.0.0.1","ECHO","128","Request"
"4","0.000355","240.248.100.73","192.0.0.1","ECHO","128","Request"
"5","0.000474","240.122.149.21","192.0.0.1","ECHO","128","Request"
"6","0.000592","240.59.237.187","192.0.0.1","ECHO","128","Request"
"7","0.000711","240.27.81.236","192.0.0.1","ECHO","128","Request"
"8","0.000829","120.13.168.246","192.0.0.1","ECHO","128","Request"
"9","0.000947","60.6.212.123","192.0.0.1","ECHO","128","Request"
"10","0.001066","150.5.205.12","192.0.0.1","ECHO","128","Request"
"11","0.001184","75.2.230.134","192.0.0.1","ECHO","128","Request"
"12","0.001303","37.129.115.67","192.0.0.1","ECHO","128","Request"
"13","0.001421","154.198.30.144","192.0.0.1","ECHO","128","Request"
"14","0.001539","77.99.15.72","192.0.0.1","ECHO","128","Request"
"15","0.001658","38.177.135.164","192.0.0.1","ECHO","128","Request"
"16","0.001776","19.88.195.210","192.0.0.1","ECHO","128","Request"
"17","0.001895","9.172.97.233","192.0.0.1","ECHO","128","Request"
"18","0.002013","140.208.151.197","192.0.0.1","ECHO","128","Request"
"19","0.002131","206.110.236.211","192.0.0.1","ECHO","128","Request"
"20","0.002250","239.49.209.88","192.0.0.1","ECHO","128","Request"
"21","0.002368","119.152.232.172","192.0.0.1","ECHO","128","Request"
"22","0.002487","59.204.116.86","192.0.0.1","ECHO","128","Request"
"23","0.002605","29.230.58.43","192.0.0.1","ECHO","128","Request"
"24","0.002723","134.245.186.36","192.0.0.1","ECHO","128","Request"
"25","0.002842","67.122.221.18","192.0.0.1","ECHO","128","Request"
"26","0.002960","33.189.110.137","192.0.0.1","ECHO","128","Request"
"27","0.003079","152.216.16.117","192.0.0.1","ECHO","128","Request"
"28","0.003197","196.106.175.11","192.0.0.1","ECHO","128","Request"
"29","0.003315","234.51.240.180","192.0.0.1","ECHO","128","Request"
"30","0.003434","117.25.248.90","192.0.0.1","ECHO","128","Request"
"31","0.003552","58.140.252.45","192.0.0.1","ECHO","128","Request"
"32","0.003671","149.64.217.39","192.0.0.1","ECHO","128","Request"
"33","0.003789","194.166.203.162","192.0.0.1","ECHO","128","Request"
"34","0.003907","97.83.101.209","192.0.0.1","ECHO","128","Request"
"35","0.004026","184.175.21.217","192.0.0.1","ECHO","128","Request"
"36","0.004144","212.81.45.221","192.0.0.1","ECHO","128","Request"
"37","0.004263","226.46.49.223","192.0.0.1","ECHO","128","Request"
