"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","189.146.168.168","192.0.0.1","UDP","128","20231  >  3283 Len=82"
"2","0.000118","94.201.84.84","192.0.0.1","UDP","128","32946  >  3283 Len=82"
"3","0.000237","47.100.170.42","192.0.0.1","UDP","128","49241  >  3283 Len=82"
"4","0.000355","23.178.85.21","192.0.0.1","UDP","128","50973  >  3283 Len=82"
"5","0.000473","131.223.141.187","192.0.0.1","UDP","128","50367  >  3283 Len=82"
"6","0.000592","201.233.97.236","192.0.0.1","UDP","128","17774  >  3283 Len=82"
"7","0.000710","100.244.176.246","192.0.0.1","UDP","128","8887  >  3283 Len=82"
"8","0.000829","50.122.88.123","192.0.0.1","UDP","128","46698  >  3283 Len=82"
"9","0.000947","145.59.139.12","192.0.0.1","UDP","128","23349  >  3283 Len=82"
"10","0.001066","72.157.197.134","192.0.0.1","UDP","128","2731  >  3283 Len=82"
"11","0.001184","36.78.226.195","192.0.0.1","UDP","128","41572  >  3283 Len=82"
"12","0.001302","154.33.214.80","192.0.0.1","UDP","128","20786  >  3283 Len=82"
"13","0.001421","77.16.235.40","192.0.0.1","UDP","128","43161  >  3283 Len=82"
"14","0.001539","38.136.117.148","192.0.0.1","UDP","128","29565  >  3283 Len=82"
"15","0.001658","19.68.58.202","192.0.0.1","UDP","128","7823  >  3283 Len=82"
"16","0.001776","9.162.29.101","192.0.0.1","UDP","128","10358  >  3283 Len=82"
"17","0.001894","140.215.169.131","192.0.0.1","UDP","128","37947  >  3283 Len=82"
"18","0.002013","206.109.115.240","192.0.0.1","UDP","128","60716  >  3283 Len=82"
"19","0.002131","103.54.185.248","192.0.0.1","UDP","128","63126  >  3283 Len=82"
"20","0.002250","51.155.92.252","192.0.0.1","UDP","128","64331  >  3283 Len=82"
"21","0.002368","25.205.174.126","192.0.0.1","UDP","128","55956  >  3283 Len=82"
"22","0.002486","12.230.215.63","192.0.0.1","UDP","128","27978  >  3283 Len=82"
"23","0.002605","142.117.204.174","192.0.0.1","UDP","128","13989  >  3283 Len=82"
"24","0.002723","71.58.230.87","192.0.0.1","UDP","128","48227  >  3283 Len=82"
"25","0.002842","171.155.212.26","192.0.0.1","UDP","128","63744  >  3283 Len=82"
"26","0.002960","85.205.234.13","192.0.0.1","UDP","128","64640  >  3283 Len=82"
"27","0.003078","162.224.82.55","192.0.0.1","UDP","128","32320  >  3283 Len=82"
"28","0.003197","217.118.142.42","192.0.0.1","UDP","128","16160  >  3283 Len=82"
"29","0.003315","108.187.71.21","192.0.0.1","UDP","128","8080  >  3283 Len=82"
"30","0.003434","190.91.4.187","192.0.0.1","UDP","128","4040  >  3283 Len=82"
"31","0.003552","215.43.37.108","192.0.0.1","UDP","128","34788  >  3283 Len=82"
"32","0.003670","107.149.146.182","192.0.0.1","UDP","128","50162  >  3283 Len=82"
"33","0.003789","53.202.201.91","192.0.0.1","UDP","128","57849  >  3283 Len=82"
"34","0.003907","146.227.195.156","192.0.0.1","UDP","128","22477  >  3283 Len=82"
"35","0.004026","73.113.225.206","192.0.0.1","UDP","128","36055  >  3283 Len=82"
"36","0.004144","36.184.240.231","192.0.0.1","UDP","128","57690  >  3283 Len=82"
"37","0.004262","154.90.223.66","192.0.0.1","UDP","128","28845  >  3283 Len=82"
"38","0.004381","77.45.111.161","192.0.0.1","UDP","128","40807  >  3283 Len=82"
"39","0.004499","174.144.16.225","192.0.0.1","UDP","128","26754  >  3283 Len=82"
"40","0.004618","223.78.175.65","192.0.0.1","UDP","128","13377  >  3283 Len=82"
"41","0.004736","231.161.240.145","192.0.0.1","UDP","128","15633  >  3283 Len=82"
"42","0.004854","251.214.95.121","192.0.0.1","UDP","128","14777  >  3283 Len=82"
"43","0.004973","245.237.136.141","192.0.0.1","UDP","128","15341  >  3283 Len=82"
"44","0.005091","242.240.99.119","192.0.0.1","UDP","128","47815  >  3283 Len=82"
"45","0.005210","241.126.150.138","192.0.0.1","UDP","128","64082  >  3283 Len=82"
"46","0.005328","120.191.75.69","192.0.0.1","UDP","128","64809  >  3283 Len=82"
"47","0.005446","180.89.2.147","192.0.0.1","UDP","128","22949  >  3283 Len=82"
"48","0.005565","210.42.38.120","192.0.0.1","UDP","128","35811  >  3283 Len=82"
"49","0.005683","105.21.19.60","192.0.0.1","UDP","128","25280  >  3283 Len=82"
"50","0.005802","52.138.137.158","192.0.0.1","UDP","128","12640  >  3283 Len=82"
"51","0.005920","26.69.68.207","192.0.0.1","UDP","128","6320  >  3283 Len=82"
"52","0.006038","133.36.5.86","192.0.0.1","UDP","128","3160  >  3283 Len=82"
"53","0.006157","66.146.2.171","192.0.0.1","UDP","128","34348  >  3283 Len=82"
"54","0.006275","169.79.166.100","192.0.0.1","UDP","128","17174  >  3283 Len=82"
"55","0.006394","84.167.211.50","192.0.0.1","UDP","128","8587  >  3283 Len=82"
"56","0.006512","42.83.233.153","192.0.0.1","UDP","128","14324  >  3283 Len=82"
"57","0.006630","157.47.83.253","192.0.0.1","UDP","128","7162  >  3283 Len=82"
"58","0.006749","198.145.14.207","192.0.0.1","UDP","128","3581  >  3283 Len=82"
"59","0.006867","235.78.32.86","192.0.0.1","UDP","128","8655  >  3283 Len=82"
"60","0.006986","117.167.16.43","192.0.0.1","UDP","128","47062  >  3283 Len=82"
"61","0.007104","178.213.47.36","192.0.0.1","UDP","128","56299  >  3283 Len=82"
"62","0.007222","89.106.151.146","192.0.0.1","UDP","128","51908  >  3283 Len=82"
"63","0.007341","44.181.75.201","192.0.0.1","UDP","128","25954  >  3283 Len=82"
"64","0.007459","158.92.2.213","192.0.0.1","UDP","128","12977  >  3283 Len=82"
"65","0.007578","199.40.166.91","192.0.0.1","UDP","128","48745  >  3283 Len=82"
"66","0.007696","235.146.244.28","192.0.0.1","UDP","128","63493  >  3283 Len=82"
"67","0.007814","117.201.122.14","192.0.0.1","UDP","128","23347  >  3283 Len=82"
"68","0.007933","58.228.189.7","192.0.0.1","UDP","128","2728  >  3283 Len=82"
"69","0.008051","149.116.249.178","192.0.0.1","UDP","128","1364  >  3283 Len=82"
"70","0.008170","74.186.124.217","192.0.0.1","UDP","128","682  >  3283 Len=82"
"71","0.008288","173.91.153.93","192.0.0.1","UDP","128","341  >  3283 Len=82"
"72","0.008406","222.171.107.159","192.0.0.1","UDP","128","42907  >  3283 Len=82"
"73","0.008525","231.83.18.254","192.0.0.1","UDP","128","62716  >  3283 Len=82"
"74","0.008643","115.169.137.127","192.0.0.1","UDP","128","31358  >  3283 Len=82"
"75","0.008762","177.210.99.142","192.0.0.1","UDP","128","48447  >  3283 Len=82"
"76","0.008880","88.233.49.199","192.0.0.1","UDP","128","63918  >  3283 Len=82"
"77","0.008998","164.114.63.210","192.0.0.1","UDP","128","64727  >  3283 Len=82"
"78","0.009117","82.57.31.233","192.0.0.1","UDP","128","22874  >  3283 Len=82"
"79","0.009235","161.26.40.197","192.0.0.1","UDP","128","11437  >  3283 Len=82"
"80","0.009354","216.139.179.83","192.0.0.1","UDP","128","45415  >  3283 Len=82"
"81","0.009472","228.67.126.152","192.0.0.1","UDP","128","65410  >  3283 Len=82"
"82","0.009590","114.33.191.76","192.0.0.1","UDP","128","32705  >  3283 Len=82"
"83","0.009709","57.16.223.166","192.0.0.1","UDP","128","6353  >  3283 Len=82"
"84","0.009827","28.136.111.211","192.0.0.1","UDP","128","11097  >  3283 Len=82"
"85","0.009946","134.66.144.216","192.0.0.1","UDP","128","45725  >  3283 Len=82"
"86","0.010064","67.33.72.108","192.0.0.1","UDP","128","65151  >  3283 Len=82"
"87","0.010182","33.144.164.54","192.0.0.1","UDP","128","55310  >  3283 Len=82"
