"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","6.239.206.147","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=4a85)"
"2","0.000118","139.113.64.120","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=4a86)"
"3","0.000237","69.184.160.60","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=4a87)"
"4","0.000355","34.220.80.30","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=4a88)"
"5","0.000474","17.110.40.15","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=4a89)"
"6","0.000592","128.177.179.54","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=4a8a)"
"7","0.000710","64.88.217.155","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=4a8b)"
"8","0.000829","168.42.203.252","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=4a8c)"
"9","0.000947","84.21.101.254","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=4a8d)"
"10","0.001066","42.10.178.255","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=4a8e)"
"11","0.001184","157.3.254.78","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=4a8f)"
"12","0.001302","78.129.255.39","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=4a90)"
"13","0.001421","175.70.88.162","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=4a91)"
"14","0.001539","87.163.44.81","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=4a92)"
"15","0.001658","163.215.49.25","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=4a93)"
"16","0.001776","217.237.63.189","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=4a94)"
"17","0.001894","228.240.56.239","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=4a95)"
"18","0.002013","250.126.187.70","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=4a96)"
"19","0.002131","125.63.93.163","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=4a97)"
"20","0.002250","182.153.9.224","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=4a98)"
"21","0.002368","91.76.132.240","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=4a99)"
"22","0.002486","45.166.66.120","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=4a9a)"
"23","0.002605","22.211.33.60","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=4a9b)"
"24","0.002723","11.105.144.158","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=4a9c)"
"25","0.002842","5.180.200.79","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=4a9d)"
"26","0.002960","138.220.195.22","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=4a9e)"
"27","0.003078","69.110.97.139","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=4a9f)"
"28","0.003197","170.177.151.244","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=4aa0)"
"29","0.003315","85.88.203.250","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=4aa1)"
"30","0.003434","42.172.101.253","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=4aa2)"
"31","0.003552","157.80.149.207","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=4aa3)"
"32","0.003670","198.174.237.214","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=4aa4)"
"33","0.003789","99.87.118.235","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=4aa5)"
"34","0.003907","185.173.28.68","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=4aa6)"
