"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","124.230.107.220","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=d302)"
"2","0.000118","62.115.53.238","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=d303)"
"3","0.000237","31.57.154.247","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=d304)"
"4","0.000355","135.154.106.74","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=d305)"
"5","0.000473","67.205.53.37","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=d306)"
"6","0.000592","169.224.61.163","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=d307)"
"7","0.000710","220.246.185.224","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=d308)"
"8","0.000829","110.123.92.240","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=d309)"
"9","0.000947","55.61.174.120","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=d30a)"
"10","0.001066","27.158.215.60","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=d30b)"
"11","0.001184","13.207.107.158","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=d30c)"
"12","0.001302","6.231.181.207","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=d30d)"
"13","0.001421","139.117.125.214","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=d30e)"
"14","0.001539","69.186.190.235","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=d30f)"
"15","0.001658","170.219.248.68","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=d310)"
"16","0.001776","85.109.252.34","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=d311)"
"17","0.001894","42.182.254.17","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=d312)"
"18","0.002013","157.93.216.57","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=d313)"
"19","0.002131","198.168.75.45","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=d314)"
"20","0.002250","235.82.130.167","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=d315)"
"21","0.002368","253.175.230.98","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=d316)"
"22","0.002486","126.215.243.49","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=d317)"
"23","0.002605","183.109.94.169","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=d318)"
"24","0.002723","211.176.8.101","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=d319)"
"25","0.002842","225.222.163.3","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=d31a)"
"26","0.002960","248.233.246.176","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=d31b)"
"27","0.003078","124.116.251.88","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=d31c)"
"28","0.003197","62.58.125.172","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=d31d)"
"29","0.003315","31.29.62.214","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=d31e)"
"30","0.003434","15.142.159.107","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=d31f)"
"31","0.003552","143.193.232.132","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=d320)"
