"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","35.191.185.232","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=81b9)"
"2","0.000119","17.223.220.244","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=81ba)"
"3","0.000237","8.239.238.122","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=81bb)"
"4","0.000355","4.119.247.61","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=81bc)"
"5","0.000474","138.61.92.175","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=81bd)"
"6","0.000592","205.24.9.102","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=81be)"
"7","0.000711","102.140.4.179","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=81bf)"
"8","0.000829","187.64.165.104","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=81c0)"
"9","0.000947","93.160.82.180","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=81c1)"
"10","0.001066","46.208.41.90","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=81c2)"
"11","0.001184","23.104.20.173","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=81c3)"
"12","0.001303","131.178.173.103","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=81c4)"
"13","0.001421","201.223.241.130","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=81c5)"
"14","0.001539","100.239.248.193","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=81c6)"
"15","0.001658","186.113.91.81","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=81c7)"
"16","0.001776","213.62.10.153","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=81c8)"
"17","0.001895","226.153.162.125","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=81c9)"
"18","0.002013","249.74.118.15","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=81ca)"
"19","0.002131","244.163.156.54","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=81cb)"
"20","0.002250","122.81.206.27","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=81cc)"
"21","0.002368","181.46.64.60","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=81cd)"
"22","0.002487","90.151.32.30","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=81ce)"
"23","0.002605","45.75.144.15","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=81cf)"
"24","0.002724","158.163.111.54","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=81d0)"
"25","0.002842","79.81.183.155","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=81d1)"
"26","0.002960","175.174.124.252","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=81d2)"
"27","0.003079","87.215.62.126","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=81d3)"
"28","0.003197","43.235.159.63","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=81d4)"
"29","0.003316","157.243.104.174","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=81d5)"
"30","0.003434","78.249.180.87","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=81d6)"
"31","0.003552","175.122.125.26","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=81d7)"
"32","0.003671","87.189.62.141","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=81d8)"
"33","0.003789","163.216.56.119","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=81d9)"
"34","0.003908","217.234.187.10","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=81da)"
"35","0.004026","108.245.93.133","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=81db)"
"36","0.004144","190.124.9.243","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=81dc)"
"37","0.004263","215.56.163.200","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=81dd)"
"38","0.004381","107.156.81.228","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=81de)"
"39","0.004500","53.206.40.242","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=81df)"
"40","0.004618","26.231.20.121","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=81e0)"
"41","0.004736","133.117.45.13","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=81e1)"
"42","0.004855","202.188.49.183","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=81e2)"
"43","0.004973","237.88.191.234","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=81e3)"
"44","0.005092","118.172.95.245","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=81e4)"
"45","0.005210","179.80.136.203","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=81e5)"
"46","0.005328","209.174.227.84","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=81e6)"
"47","0.005447","104.215.113.170","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=81e7)"
"48","0.005565","52.107.184.213","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=81e8)"
"49","0.005684","146.51.123.91","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=81e9)"
