"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","53.33.179.172","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=d4ed)"
"2","0.000118","26.144.217.214","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=d4ee)"
"3","0.000236","13.72.108.235","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=d4ef)"
"4","0.000355","142.162.145.68","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=d4f0)"
"5","0.000473","71.81.72.162","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=d4f1)"
"6","0.000592","35.168.164.81","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=d4f2)"
"7","0.000710","153.210.245.25","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=d4f3)"
"8","0.000828","196.239.221.189","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=d4f4)"
"9","0.000947","234.113.73.239","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=d4f5)"
"10","0.001065","253.62.3.198","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=d4f6)"
"11","0.001184","126.159.1.227","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=d4f7)"
"12","0.001302","183.73.39.192","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=d4f8)"
"13","0.001420","91.164.147.224","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=d4f9)"
"14","0.001539","45.210.73.240","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=d4fa)"
"15","0.001657","22.233.36.248","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=d4fb)"
"16","0.001776","11.116.146.124","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=d4fc)"
"17","0.001894","5.186.73.62","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=d4fd)"
"18","0.002012","2.221.36.159","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=d4fe)"
"19","0.002131","137.104.53.126","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=d4ff)"
"20","0.002249","68.180.26.191","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=d500)"
"21","0.002368","170.92.170.110","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=d501)"
"22","0.002486","85.46.85.55","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=d502)"
"23","0.002604","162.145.141.170","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=d503)"
"24","0.002723","81.72.198.213","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=d504)"
"25","0.002841","160.162.196.91","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=d505)"
"26","0.002960","216.87.197.28","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=d506)"
"27","0.003078","108.43.226.142","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=d507)"
"28","0.003196","54.21.241.71","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=d508)"
"29","0.003315","147.12.95.146","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=d509)"
"30","0.003433","73.134.47.201","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=d50a)"
"31","0.003552","172.197.176.213","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=d50b)"
"32","0.003670","222.100.127.91","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=d50c)"
"33","0.003788","231.52.152.156","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=d50d)"
"34","0.003907","115.154.76.78","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=d50e)"
"35","0.004025","57.205.38.39","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=d50f)"
"36","0.004144","148.224.52.34","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=d510)"
"37","0.004262","74.112.26.17","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=d511)"
"38","0.004380","173.62.170.57","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=d512)"
"39","0.004499","222.153.242.45","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=d513)"
"40","0.004617","231.74.94.39","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=d514)"
"41","0.004736","251.163.136.34","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=d515)"
"42","0.004854","125.209.196.17","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=d516)"
"43","0.004972","182.238.69.57","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=d517)"
"44","0.005091","211.113.133.173","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=d518)"
"45","0.005209","225.190.101.231","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=d519)"
"46","0.005328","248.217.149.194","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=d51a)"
"47","0.005446","124.108.202.225","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=d51b)"
"48","0.005565","182.48.194.65","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=d51c)"
"49","0.005683","211.30.198.17","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=d51d)"
"50","0.005801","225.137.196.57","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=d51e)"
"51","0.005920","248.194.69.45","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=d51f)"
"52","0.006038","244.103.133.167","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=d520)"
"53","0.006157","242.53.101.226","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=d521)"
"54","0.006275","121.26.178.241","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=d522)"
"55","0.006393","180.139.254.73","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=d523)"
"56","0.006512","210.67.88.21","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=d524)"
"57","0.006630","225.39.11.59","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=d525)"
"58","0.006749","248.149.34.172","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=d526)"
"59","0.006867","124.74.145.86","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=d527)"
"60","0.006985","62.37.72.171","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=d528)"
"61","0.007104","151.20.3.100","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=d529)"
"62","0.007222","75.138.1.178","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=d52a)"
"63","0.007341","37.197.0.217","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=d52b)"
"64","0.007459","154.228.39.93","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=d52c)"
"65","0.007577","197.116.180.159","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=d52d)"
"66","0.007696","234.188.253.126","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=d52e)"
"67","0.007814","117.94.126.191","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=d52f)"
"68","0.007933","178.169.152.110","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=d530)"
"69","0.008051","89.84.204.55","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=d531)"
"70","0.008169","164.172.193.42","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=d532)"
"71","0.008288","82.86.96.149","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=d533)"
"72","0.008406","161.45.151.123","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=d534)"
"73","0.008525","216.144.108.140","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=d535)"
"74","0.008643","108.72.54.70","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=d536)"
"75","0.008761","54.36.27.35","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=d537)"
"76","0.008880","147.20.170.160","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=d538)"
"77","0.008998","73.138.85.80","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=d539)"
"78","0.009117","36.197.42.168","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=d53a)"
"79","0.009235","18.98.149.84","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=d53b)"
"80","0.009353","9.49.74.170","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=d53c)"
"81","0.009472","4.152.165.85","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=d53d)"
"82","0.009590","138.74.245.155","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=d53e)"
"83","0.009709","205.35.221.252","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=d53f)"
"84","0.009827","102.145.238.254","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=d540)"
"85","0.009945","51.72.247.127","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=d541)"
"86","0.010064","145.162.220.142","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=d542)"
"87","0.010182","72.209.110.71","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=d543)"
"88","0.010301","172.110.16.18","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=d544)"
"89","0.010419","86.55.8.9","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=d545)"
"90","0.010537","163.29.35.53","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=d546)"
"91","0.010656","217.136.54.171","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=d547)"
