"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","33.72.106.129","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=5e83)"
"2","0.000118","152.162.146.113","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=5e84)"
"3","0.000236","196.87.238.9","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=5e85)"
"4","0.000355","234.45.80.53","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=5e86)"
"5","0.000473","253.16.15.43","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=5e87)"
"6","0.000592","246.142.160.164","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=5e88)"
"7","0.000710","123.71.80.82","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=5e89)"
"8","0.000828","61.163.168.41","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=5e8a)"
"9","0.000947","150.215.115.37","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=5e8b)"
"10","0.001065","195.109.30.163","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=5e8c)"
"11","0.001184","233.176.40.96","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=5e8d)"
"12","0.001302","116.216.20.48","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=5e8e)"
"13","0.001420","58.108.10.24","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=5e8f)"
"14","0.001539","29.54.5.12","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=5e90)"
"15","0.001657","14.155.2.134","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=5e91)"
"16","0.001776","7.77.129.67","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=5e92)"
"17","0.001894","139.160.103.144","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=5e93)"
"18","0.002012","69.208.51.200","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=5e94)"
"19","0.002131","34.232.25.228","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=5e95)"
"20","0.002249","17.116.12.242","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=5e96)"
"21","0.002368","8.186.6.121","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=5e97)"
"22","0.002486","140.91.164.13","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=5e98)"
"23","0.002604","206.43.117.55","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=5e99)"
"24","0.002723","239.19.29.170","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=5e9a)"
"25","0.002841","119.137.142.213","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=5e9b)"
"26","0.002960","179.194.96.91","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=5e9c)"
"27","0.003078","209.231.151.28","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=5e9d)"
"28","0.003196","104.243.203.142","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=5e9e)"
"29","0.003315","52.121.229.199","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=5e9f)"
"30","0.003433","146.58.85.210","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=5ea0)"
"31","0.003552","73.29.42.233","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=5ea1)"
"32","0.003670","172.136.50.69","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=5ea2)"
"33","0.003788","222.66.190.19","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=5ea3)"
"34","0.003907","231.39.248.56","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=5ea4)"
"35","0.004025","115.147.252.28","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=5ea5)"
"36","0.004144","57.201.254.14","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=5ea6)"
"37","0.004262","28.228.255.7","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=5ea7)"
"38","0.004380","134.116.216.178","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=5ea8)"
"39","0.004499","67.58.108.89","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=5ea9)"
"40","0.004617","169.155.145.29","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=5eaa)"
"41","0.004736","220.203.111.191","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=5eab)"
"42","0.004854","230.99.16.238","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=5eac)"
"43","0.004972","115.49.136.119","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=5ead)"
"44","0.005091","177.158.99.10","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=5eae)"
"45","0.005209","88.207.49.133","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=5eaf)"
"46","0.005328","164.97.63.243","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=5eb0)"
"47","0.005446","218.54.56.200","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=5eb1)"
"48","0.005564","109.27.28.100","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=5eb2)"
"49","0.005683","54.141.142.50","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=5eb3)"
"50","0.005801","27.70.199.25","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=5eb4)"
"51","0.005920","133.165.196.189","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=5eb5)"
"52","0.006038","202.212.69.111","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=5eb6)"
"53","0.006157","237.108.133.134","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=5eb7)"
"54","0.006275","118.182.66.195","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=5eb8)"
"55","0.006393","179.93.134.80","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=5eb9)"
"56","0.006512","89.174.195.40","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=5eba)"
"57","0.006630","44.215.97.148","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=5ebb)"
"58","0.006749","22.107.176.202","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=5ebc)"
"59","0.006867","11.53.216.101","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=5ebd)"
"60","0.006985","141.156.75.3","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=5ebe)"
"61","0.007104","206.200.130.176","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=5ebf)"
"62","0.007222","103.100.65.88","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=5ec0)"
"63","0.007341","51.178.32.172","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=5ec1)"
"64","0.007459","25.217.16.86","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=5ec2)"
"65","0.007577","12.236.136.43","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=5ec3)"
"66","0.007696","142.112.227.36","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=5ec4)"
"67","0.007814","71.56.113.146","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=5ec5)"
"68","0.007933","35.156.56.201","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=5ec6)"
"69","0.008051","153.200.187.85","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=5ec7)"
"70","0.008169","196.226.250.155","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=5ec8)"
"71","0.008288","234.119.218.124","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=5ec9)"
"72","0.008406","117.59.237.62","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=5eca)"
"73","0.008525","58.157.246.159","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=5ecb)"
"74","0.008643","149.72.92.126","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=5ecc)"
"75","0.008761","74.164.46.63","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=5ecd)"
"76","0.008880","173.84.176.46","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=5ece)"
"77","0.008998","86.170.88.23","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=5ecf)"
"78","0.009117","163.83.139.58","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=5ed0)"
"79","0.009235","81.169.197.157","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=5ed1)"
