"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","251.209.158.120","192.0.0.1","UDP","128","27258  >  5896 Len=82"
"2","0.001184","125.232.207.60","192.0.0.1","UDP","128","13629  >  35716 Len=82"
"3","0.002368","62.244.103.158","192.0.0.1","UDP","128","48559  >  50626 Len=82"
"4","0.003552","31.122.51.207","192.0.0.1","UDP","128","63974  >  58081 Len=82"
"5","0.004736","135.187.190.214","192.0.0.1","UDP","128","64755  >  22081 Len=82"
"6","0.005920","67.221.223.107","192.0.0.1","UDP","128","55624  >  3089 Len=82"
"7","0.007104","169.232.72.132","192.0.0.1","UDP","128","60580  >  8505 Len=82"
"8","0.008288","84.244.36.66","192.0.0.1","UDP","128","63058  >  14253 Len=82"
"9","0.009472","42.122.18.33","192.0.0.1","UDP","128","64297  >  15591 Len=82"
"10","0.010656","157.59.174.33","192.0.0.1","UDP","128","23205  >  14658 Len=82"
"11","0.011840","198.155.112.33","192.0.0.1","UDP","128","35427  >  40097 Len=82"
"12","0.013024","235.75.31.33","192.0.0.1","UDP","128","25088  >  26977 Len=82"
"13","0.014208","253.163.40.161","192.0.0.1","UDP","128","45312  >  37761 Len=82"
"14","0.015392","246.215.51.97","192.0.0.1","UDP","128","22656  >  28401 Len=82"
"15","0.016577","243.109.62.129","192.0.0.1","UDP","128","11328  >  36937 Len=82"
"16","0.017761","241.176.56.113","192.0.0.1","UDP","128","5664  >  61205 Len=82"
"17","0.018945","240.222.187.9","192.0.0.1","UDP","128","2832  >  53435 Len=82"
"18","0.020128","240.105.250.181","192.0.0.1","UDP","128","34184  >  20332 Len=82"
"19","0.021313","240.50.90.107","192.0.0.1","UDP","128","49860  >  42934 Len=82"
"20","0.022497","240.31.138.4","192.0.0.1","UDP","128","57698  >  54235 Len=82"
"21","0.023681","120.15.197.2","192.0.0.1","UDP","128","28849  >  20188 Len=82"
"22","0.024865","60.7.226.129","192.0.0.1","UDP","128","40809  >  10094 Len=82"
"23","0.026049","150.5.86.113","192.0.0.1","UDP","128","26757  >  5047 Len=82"
"24","0.027233","195.4.12.9","192.0.0.1","UDP","128","37747  >  12010 Len=82"
"25","0.028417","233.132.161.53","192.0.0.1","UDP","128","61064  >  6005 Len=82"
"26","0.029601","252.196.247.171","192.0.0.1","UDP","128","63300  >  11403 Len=82"
"27","0.030785","246.100.220.228","192.0.0.1","UDP","128","64418  >  45428 Len=82"
"28","0.031969","123.50.110.114","192.0.0.1","UDP","128","32209  >  55482 Len=82"
"29","0.033153","61.153.55.57","192.0.0.1","UDP","128","39385  >  27741 Len=82"
"30","0.034337","150.202.60.173","192.0.0.1","UDP","128","60381  >  4383 Len=82"
"31","0.035521","00:00:00_00:00:00","00:00:00_00:00:00","802.11","128","Association Request, SN=0, FN=0, Flags=........, SSID=Wildcard (Broadcast)[Malformed Packet]"
"32","0.036705","233.183.123.130","192.0.0.1","UDP","128","36446  >  6111 Len=82"
"33","0.037889","116.219.189.193","192.0.0.1","UDP","128","18223  >  44254 Len=82"
"34","0.039073","178.107.121.209","192.0.0.1","UDP","128","1190  >  22127 Len=82"
"35","0.040257","209.51.27.217","192.0.0.1","UDP","128","595  >  3078 Len=82"
"36","0.041441","224.159.42.221","192.0.0.1","UDP","128","42520  >  1539 Len=82"
"37","0.042625","248.73.50.95","192.0.0.1","UDP","128","21260  >  42032 Len=82"
"38","0.043809","244.34.62.30","192.0.0.1","UDP","128","10630  >  21016 Len=82"
"39","0.044993","122.17.31.15","192.0.0.1","UDP","128","5315  >  10508 Len=82"
"40","0.046177","181.14.40.182","192.0.0.1","UDP","128","11600  >  5254 Len=82"
"41","0.047361","90.135.20.91","192.0.0.1","UDP","128","5800  >  2627 Len=82"
"42","0.048545","165.69.45.28","192.0.0.1","UDP","128","2900  >  41488 Len=82"
"43","0.049729","82.162.150.142","192.0.0.1","UDP","128","1450  >  20744 Len=82"
"44","0.050913","41.81.75.71","192.0.0.1","UDP","128","33493  >  43140 Len=82"
"45","0.052097","156.174.2.146","192.0.0.1","UDP","128","26203  >  21570 Len=82"
"46","0.053281","78.87.1.73","192.0.0.1","UDP","128","37916  >  43553 Len=82"
"47","0.054465","175.45.39.149","192.0.0.1","UDP","128","18958  >  61985 Len=82"
"48","0.055649","223.144.52.251","192.0.0.1","UDP","128","9479  >  56865 Len=82"
"49","0.056833","231.206.189.76","192.0.0.1","UDP","128","13746  >  18465 Len=82"
"50","0.058017","115.231.94.166","192.0.0.1","UDP","128","39641  >  33569 Len=82"
"51","0.059201","57.243.175.83","192.0.0.1","UDP","128","27229  >  26273 Len=82"
"52","0.060385","148.255.112.152","192.0.0.1","UDP","128","4639  >  37985 Len=82"
"53","0.061569","74.127.184.76","192.0.0.1","UDP","128","11838  >  27905 Len=82"
"54","0.062753","37.63.220.38","192.0.0.1","UDP","128","5919  >  4529 Len=82"
"55","0.063937","18.159.238.19","192.0.0.1","UDP","128","44222  >  45033 Len=82"
"56","0.065121","129.73.80.56","192.0.0.1","UDP","128","22111  >  61637 Len=82"
"57","0.066305","64.164.168.28","192.0.0.1","UDP","128","35870  >  57171 Len=82"
"58","0.067489","32.82.84.14","192.0.0.1","UDP","128","17935  >  18584 Len=82"
"59","0.068673","16.41.42.7","192.0.0.1","UDP","128","1078  >  42060 Len=82"
"60","0.069857","128.18.50.50","192.0.0.1","UDP","128","33307  >  53798 Len=82"
"61","0.071041","64.9.25.25","192.0.0.1","UDP","128","26172  >  26899 Len=82"
"62","0.072225","168.2.43.189","192.0.0.1","UDP","128","13086  >  5048 Len=82"
"63","0.073409","220.7.178.239","192.0.0.1","UDP","128","6543  >  2524 Len=82"
"64","0.074593","230.5.126.70","192.0.0.1","UDP","128","44022  >  34030 Len=82"
"65","0.075778","115.2.191.35","192.0.0.1","UDP","128","22011  >  49783 Len=82"
"66","0.076962","177.135.248.160","192.0.0.1","UDP","128","3532  >  50698 Len=82"
"67","0.078146","88.195.252.80","192.0.0.1","UDP","128","34534  >  25349 Len=82"
"68","0.079329","44.97.254.40","192.0.0.1","UDP","128","17267  >  5811 Len=82"
"69","0.080514","22.48.255.20","192.0.0.1","UDP","128","1672  >  11368 Len=82"
"70","0.081698","11.24.127.138","192.0.0.1","UDP","128","836  >  38452 Len=82"
"71","0.082882","5.140.63.197","192.0.0.1","UDP","128","33186  >  51994 Len=82"
"72","0.084066","138.192.184.211","192.0.0.1","UDP","128","49361  >  25997 Len=82"
"73","0.085250","205.102.251.88","192.0.0.1","UDP","128","51033  >  5623 Len=82"
"74","0.086434","102.179.125.172","192.0.0.1","UDP","128","50333  >  44490 Len=82"
"75","0.087618","51.89.190.214","192.0.0.1","UDP","128","50559  >  55013 Len=82"
"76","0.088802","25.172.223.107","192.0.0.1","UDP","128","17806  >  52291 Len=82"
"77","0.089986","132.208.200.132","192.0.0.1","UDP","128","41671  >  16656 Len=82"
"78","0.091170","66.104.100.66","192.0.0.1","UDP","128","30290  >  41096 Len=82"
"79","0.092354","33.52.50.33","192.0.0.1","UDP","128","47913  >  20548 Len=82"
"80","0.093538","152.156.190.33","192.0.0.1","UDP","128","64165  >  10274 Len=82"
"81","0.094722","196.72.248.33","192.0.0.1","UDP","128","55907  >  37905 Len=82"
"82","0.095906","234.34.219.33","192.0.0.1","QUAKE3","128","Game Server to Client"
"83","0.097090","253.23.202.161","192.0.0.1","UDP","128","25856  >  37293 Len=82"
"84","0.098274","246.141.66.97","192.0.0.1","UDP","128","12928  >  61415 Len=82"
"85","0.099458","243.64.6.1","192.0.0.1","UDP","128","39232  >  53442 Len=82"
"86","0.100642","241.166.164.49","192.0.0.1","UDP","128","52384  >  59489 Len=82"
"87","0.101826","240.213.245.41","192.0.0.1","UDP","128","58960  >  54017 Len=82"
"88","0.103010","240.108.93.165","192.0.0.1","UDP","128","62248  >  52913 Len=82"
"89","0.104194","240.48.137.227","192.0.0.1","UDP","128","63892  >  16489 Len=82"
"90","0.105378","240.30.227.192","192.0.0.1","UDP","128","31946  >  1797 Len=82"
"91","0.106562","120.15.113.224","192.0.0.1","UDP","128","48741  >  42163 Len=82"
"92","0.107746","60.7.184.240","192.0.0.1","UDP","128","63491  >  30056 Len=82"
"93","0.108930","30.3.220.120","192.0.0.1","UDP","128","23344  >  47796 Len=82"
"94","0.110114","15.1.238.60","192.0.0.1","UDP","128","44440  >  56666 Len=82"
"95","0.111298","7.128.247.30","192.0.0.1","UDP","128","22220  >  28333 Len=82"
"96","0.112482","3.192.123.143","192.0.0.1","UDP","128","11110  >  4199 Len=82"
"97","0.113666","137.230.154.246","192.0.0.1","UDP","128","38323  >  12034 Len=82"
