"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","168.183.127.42","192.0.0.1","UDP","128","24356  >  22 Len=82"
"2","0.000118","84.91.191.149","192.0.0.1","UDP","128","12178  >  22 Len=82"
"3","0.000236","162.43.120.251","192.0.0.1","UDP","128","6089  >  22 Len=82"
"4","0.000355","217.19.27.76","192.0.0.1","UDP","128","44245  >  22 Len=82"
"5","0.000473","108.137.141.166","192.0.0.1","UDP","128","29019  >  22 Len=82"
"6","0.000591","54.68.198.211","192.0.0.1","UDP","128","40860  >  22 Len=82"
"7","0.000710","147.36.196.88","192.0.0.1","UDP","128","53198  >  22 Len=82"
"8","0.000828","73.146.98.44","192.0.0.1","UDP","128","26599  >  22 Len=82"
"9","0.000947","36.201.49.22","192.0.0.1","UDP","128","5314  >  22 Len=82"
"10","0.001065","18.100.152.139","192.0.0.1","UDP","128","2657  >  22 Len=82"
"11","0.001184","129.52.235.116","192.0.0.1","UDP","128","41473  >  22 Len=82"
"12","0.001302","64.154.117.186","192.0.0.1","UDP","128","30257  >  22 Len=82"
"13","0.001420","32.77.58.221","192.0.0.1","UDP","128","39977  >  22 Len=82"
"14","0.001539","152.32.58.95","192.0.0.1","UDP","128","26917  >  22 Len=82"
"15","0.001657","196.22.186.30","192.0.0.1","UDP","128","37795  >  22 Len=82"
"16","0.001776","98.11.93.15","192.0.0.1","UDP","128","28384  >  22 Len=82"
"17","0.001894","185.3.9.182","192.0.0.1","UDP","128","46960  >  22 Len=82"
"18","0.002012","92.129.132.219","192.0.0.1","UDP","128","56248  >  22 Len=82"
"19","0.002131","166.70.101.92","192.0.0.1","UDP","128","60892  >  22 Len=82"
"20","0.002249","83.35.50.174","192.0.0.1","UDP","128","63214  >  22 Len=82"
"21","0.002368","41.145.153.87","192.0.0.1","UDP","128","31607  >  22 Len=82"
"22","0.002486","156.206.107.154","192.0.0.1","UDP","128","6794  >  22 Len=82"
"23","0.002604","78.103.53.205","192.0.0.1","UDP","128","36165  >  22 Len=82"
"24","0.002723","175.53.61.215","192.0.0.1","UDP","128","57747  >  22 Len=82"
"25","0.002841","223.156.57.218","192.0.0.1","UDP","128","22520  >  22 Len=82"
"26","0.002960","111.206.28.237","192.0.0.1","UDP","128","11260  >  22 Len=82"
"27","0.003078","191.225.169.71","192.0.0.1","UDP","128","5630  >  22 Len=82"
"28","0.003196","215.246.115.146","192.0.0.1","UDP","128","35583  >  22 Len=82"
"29","0.003315","107.251.57.201","192.0.0.1","UDP","128","25166  >  22 Len=82"
"30","0.003433","189.251.59.213","192.0.0.1","UDP","128","45351  >  22 Len=82"
"31","0.003552","214.251.58.219","192.0.0.1","UDP","128","65442  >  22 Len=82"
"32","0.003670","227.123.58.92","192.0.0.1","UDP","128","32721  >  22 Len=82"
"33","0.003788","113.189.157.46","192.0.0.1","UDP","128","6361  >  22 Len=82"
"34","0.003907","56.222.206.151","192.0.0.1","UDP","128","43869  >  22 Len=82"
"35","0.004025","148.105.192.122","192.0.0.1","UDP","128","29343  >  22 Len=82"
"36","0.004144","74.52.224.61","192.0.0.1","UDP","128","7806  >  22 Len=82"
"37","0.004262","173.28.215.47","192.0.0.1","UDP","128","36671  >  22 Len=82"
"38","0.004380","222.136.204.166","192.0.0.1","UDP","128","24750  >  22 Len=82"
"39","0.004499","111.68.102.83","192.0.0.1","UDP","128","45143  >  22 Len=82"
"40","0.004617","191.164.148.24","192.0.0.1","UDP","128","65306  >  22 Len=82"
"41","0.004736","95.210.74.12","192.0.0.1","UDP","128","65421  >  22 Len=82"
"42","0.004854","47.233.37.6","192.0.0.1","UDP","128","22775  >  22 Len=82"
"43","0.004972","23.244.146.131","192.0.0.1","UDP","128","35658  >  22 Len=82"
"44","0.005091","131.252.238.112","192.0.0.1","UDP","128","50597  >  22 Len=82"
"45","0.005209","65.254.119.56","192.0.0.1","UDP","128","50659  >  22 Len=82"
"46","0.005328","32.255.59.156","192.0.0.1","UDP","128","50624  >  22 Len=82"
"47","0.005446","16.127.157.206","192.0.0.1","UDP","128","58080  >  22 Len=82"
"48","0.005564","8.63.206.231","192.0.0.1","UDP","128","61808  >  22 Len=82"
"49","0.005683","140.25.64.66","192.0.0.1","UDP","128","30904  >  22 Len=82"
"50","0.005801","70.12.160.33","192.0.0.1","UDP","128","15452  >  22 Len=82"
"51","0.005920","171.0.247.33","192.0.0.1","UDP","128","40494  >  22 Len=82"
"52","0.006038","221.134.220.161","192.0.0.1","UDP","128","20247  >  22 Len=82"
"53","0.006156","230.197.201.97","192.0.0.1","UDP","128","32954  >  22 Len=82"
"54","0.006275","251.100.67.129","192.0.0.1","UDP","128","16477  >  22 Len=82"
"55","0.006393","245.180.134.241","192.0.0.1","UDP","128","34591  >  22 Len=82"
"56","0.006512","242.220.228.73","192.0.0.1","UDP","128","58558  >  22 Len=82"
"57","0.006630","241.104.213.21","192.0.0.1","UDP","128","29279  >  22 Len=82"
"58","0.006748","240.178.205.187","192.0.0.1","UDP","128","40478  >  22 Len=82"
"59","0.006867","240.95.193.236","192.0.0.1","UDP","128","20239  >  22 Len=82"
"60","0.006985","120.47.224.246","192.0.0.1","UDP","128","182  >  22 Len=82"
"61","0.007104","60.23.240.123","192.0.0.1","UDP","128","91  >  22 Len=82"
"62","0.007222","150.13.95.12","192.0.0.1","UDP","128","42780  >  22 Len=82"
"63","0.007340","75.6.175.134","192.0.0.1","UDP","128","54158  >  22 Len=82"
"64","0.007459","37.131.87.195","192.0.0.1","UDP","128","59847  >  22 Len=82"
"65","0.007577","154.199.12.208","192.0.0.1","UDP","128","54226  >  22 Len=82"
