"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","153.29.75.191","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"2","0.001034","153.29.75.191","192.0.0.1","UDP","128","21456  >  3283 Len=82"
"3","0.001483","192.85.1.109","192.0.0.1","ICMP","1500","Echo (ping) request  id=0x0000, seq=0/0, ttl=255 (no response found!)"
"4","0.002589","7.213.41.232","72.11.253.221","UDP","128","10728  >  1024 Len=82"
"5","0.002708","7.213.41.232","7.213.41.232","TCP","128","10728  >  64989 [ACK] Seq=1 Ack=1 Win=4096 Len=70"
"6","0.002826","196.136.2.238","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=0648)"
"7","0.003046","196.136.2.238","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"8","0.004081","196.136.2.238","192.0.0.1","UDP","128","10728  >  3283 Len=82"
"9","0.004530","192.85.1.110","192.0.0.1","ICMP","1500","Echo (ping) request  id=0x0000, seq=0/0, ttl=255 (no response found!)"
"10","0.005636","3.234.148.244","172.3.89.223","UDP","128","38132  >  1024 Len=82"
"11","0.005754","3.234.148.244","3.234.148.244","TCP","128","38132  >  23007 [ACK] Seq=1 Ack=1 Win=4096 Len=70"
"12","0.005873","98.68.1.119","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=0649)"
"13","0.006093","98.68.1.119","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"14","0.007127","98.68.1.119","192.0.0.1","UDP","128","38132  >  3283 Len=82"
"15","0.007576","192.85.1.111","192.0.0.1","ICMP","1500","Echo (ping) request  id=0x0000, seq=0/0, ttl=255 (no response found!)"
"16","0.008682","1.245.74.122","222.7.11.222","UDP","128","19066  >  1024 Len=82"
"17","0.008801","1.245.74.122","1.245.74.122","TCP","128","19066  >  3038 [ACK] Seq=1 Ack=1 Win=4096 Len=70"
"18","0.008919","185.36.167.138","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=064a)"
"19","0.009139","185.36.167.138","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"20","0.010174","185.36.167.138","192.0.0.1","UDP","128","19066  >  3283 Len=82"
"21","0.010623","192.85.1.112","192.0.0.1","ICMP","1500","Echo (ping) request  id=0x0000, seq=0/0, ttl=255 (no response found!)"
"22","0.011729","0.250.165.61","111.3.133.239","UDP","128","42301  >  1024 Len=82"
"23","0.011847","0.250.165.61","0.250.165.61","TCP","128","42301  >  34287 [ACK] Seq=1 Ack=1 Win=4096 Len=70"
"24","0.011966","92.146.83.197","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=064b)"
"25","0.012186","92.146.83.197","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"26","0.013220","92.146.83.197","192.0.0.1","UDP","128","42301  >  3283 Len=82"
"27","0.013669","192.85.1.113","192.0.0.1","ICMP","1500","Echo (ping) request  id=0x0000, seq=0/0, ttl=255 (no response found!)"
"28","0.014775","136.123.245.175","191.135.101.198","UDP","128","62895  >  1024 Len=82"
"29","0.014894","136.123.245.175","136.123.245.175","TCP","128","62895  >  26054 [ACK] Seq=1 Ack=1 Win=4096 Len=70"
