"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.85.1.28","192.0.0.1","ICMP","1500","Echo (ping) request  id=0x0000, seq=0/0, ttl=255 (no response found!)"
"2","0.003492","131.151.147.179","131.151.147.179","UDP","128","37811  >  37811 Len=82"
"3","0.003610","114.87.255.139","114.87.255.139","TCP","128","37811  >  37811 [ACK] Seq=1 Ack=1 Win=4096 Len=70"
"4","0.003728","222.98.224.131","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=0dc7)"
"5","0.003949","222.98.224.131","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"6","0.004983","222.98.224.131","192.0.0.1","UDP","128","37811  >  3283 Len=82"
"7","0.005102","192.85.1.2","192.0.0.1","DNS","133","Dynamic update 0x000c Unknown (16401) \\000E\\000\\0005\357\277\275\\000[Malformed Packet]"
"8","0.005554","192.85.1.29","192.0.0.1","ICMP","1500","Echo (ping) request  id=0x0000, seq=0/0, ttl=255 (no response found!)"
"9","0.009046","201.205.110.232","201.205.110.232","UDP","128","28392  >  28392 Len=82"
"10","0.009164","177.45.88.244","177.45.88.244","TCP","128","28392  >  28392 [ACK] Seq=1 Ack=1 Win=4096 Len=70"
"11","0.009283","231.55.215.112","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=0dc8)"
"12","0.009503","231.55.215.112","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"13","0.010537","231.55.215.112","192.0.0.1","UDP","128","28392  >  3283 Len=82"
"14","0.010656","192.85.1.2","192.0.0.1","DNS","133","Dynamic update 0x000c Unknown (16401) \\000E\\000\\0005\357\277\275\\000[Malformed Packet]"
"15","0.011109","192.85.1.30","192.0.0.1","ICMP","1500","Echo (ping) request  id=0x0000, seq=0/0, ttl=255 (no response found!)"
"16","0.014601","100.230.183.116","100.230.183.116","UDP","128","46964  >  46964 Len=82"
"17","0.014719","88.150.172.122","88.150.172.122","TCP","128","46964  >  46964 [ACK] Seq=1 Ack=1 Win=4096 Len=70"
"18","0.014837","115.155.235.184","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=0dc9)"
"19","0.015058","115.155.235.184","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"20","0.016092","115.155.235.184","192.0.0.1","UDP","128","46964  >  3283 Len=82"
"21","0.016211","192.85.1.2","192.0.0.1","DNS","133","Dynamic update 0x000c Unknown (16401) \\000E\\000\\0005\357\277\275\\000[Malformed Packet]"
"22","0.016663","192.85.1.31","192.0.0.1","ICMP","1500","Echo (ping) request  id=0x0000, seq=0/0, ttl=255 (no response found!)"
"23","0.020155","50.115.91.186","50.115.91.186","UDP","128","23482  >  23482 Len=82"
"24","0.020273","44.75.86.61","44.75.86.61","TCP","128","23482  >  23482 [ACK] Seq=1 Ack=1 Win=4096 Len=70"
"25","0.020392","57.205.245.220","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=0dca)"
"26","0.020612","57.205.245.220","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"27","0.021646","57.205.245.220","192.0.0.1","UDP","128","23482  >  3283 Len=82"
"28","0.021765","192.85.1.2","192.0.0.1","DNS","133","Dynamic update 0x000c Unknown (16401) \\000E\\000\\0005\357\277\275\\000[Malformed Packet]"
"29","0.022218","192.85.1.32","192.0.0.1","ICMP","1500","Echo (ping) request  id=0x0000, seq=0/0, ttl=255 (no response found!)"
"30","0.025710","25.57.173.221","25.57.173.221","UDP","128","44509  >  44509 Len=82"
"31","0.025828","158.35.12.47","158.35.12.47","TCP","128","44509  >  44509 [ACK] Seq=1 Ack=1 Win=4096 Len=70"
"32","0.025946","28.230.250.238","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=0dcb)"
"33","0.026167","28.230.250.238","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"34","0.027201","28.230.250.238","192.0.0.1","UDP","128","44509  >  3283 Len=82"
"35","0.027320","192.85.1.2","192.0.0.1","DNS","133","Dynamic update 0x000c Unknown (16401) \\000E\\000\\0005\357\277\275\\000[Malformed Packet]"
"36","0.027772","192.85.1.33","192.0.0.1","ICMP","1500","Echo (ping) request  id=0x0000, seq=0/0, ttl=255 (no response found!)"
"37","0.031264","132.154.113.223","132.154.113.223","UDP","128","29151  >  29151 Len=82"
"38","0.031382","199.23.33.38","199.23.33.38","TCP","128","29151  >  29151 [ACK] Seq=1 Ack=1 Win=4096 Len=70"
"39","0.031501","14.115.125.119","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=0dcc)"
"40","0.031721","14.115.125.119","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"41","0.032755","14.115.125.119","192.0.0.1","UDP","128","29151  >  3283 Len=82"
"42","0.032874","192.85.1.2","192.0.0.1","DNS","133","Dynamic update 0x000c Unknown (16401) \\000E\\000\\0005\357\277\275\\000[Malformed Packet]"
"43","0.033327","192.85.1.34","192.0.0.1","ICMP","1500","Echo (ping) request  id=0x0000, seq=0/0, ttl=255 (no response found!)"
"44","0.036819","202.75.159.222","202.75.159.222","UDP","128","40926  >  40926 Len=82"
"45","0.036937","99.139.144.147","99.139.144.147","TCP","128","40926  >  40926 [ACK] Seq=1 Ack=1 Win=4096 Len=70"
"46","0.037055","143.63.25.138","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=0dcd)"
"47","0.037276","143.63.25.138","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"48","0.038310","143.63.25.138","192.0.0.1","UDP","128","40926  >  3283 Len=82"
"49","0.038429","192.85.1.2","192.0.0.1","DNS","133","Dynamic update 0x000c Unknown (16401) \\000E\\000\\0005\357\277\275\\000[Malformed Packet]"
"50","0.038881","192.85.1.35","192.0.0.1","ICMP","1500","Echo (ping) request  id=0x0000, seq=0/0, ttl=255 (no response found!)"
"51","0.042373","101.37.207.239","101.37.207.239","UDP","128","53231  >  53231 Len=82"
"52","0.042491","185.195.111.120","185.195.111.120","TCP","128","53231  >  53231 [ACK] Seq=1 Ack=1 Win=4096 Len=70"
"53","0.042610","71.159.140.197","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=0dce)"
"54","0.042830","71.159.140.197","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"55","0.043864","71.159.140.197","192.0.0.1","UDP","128","53231  >  3283 Len=82"
