"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","105.204.144.138","105.204.144.138","TCP","128","40492  >  40492 [ACK] Seq=1 Ack=1 Win=4096 Len=70"
"2","0.000119","121.17.244.161","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=007c)"
"3","0.000339","121.17.244.161","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"4","0.001373","121.17.244.161","192.0.0.1","UDP","128","40492  >  3283 Len=82"
"5","0.001492","192.85.1.2","192.0.0.1","DNS","133","Dynamic update 0x000c Unknown (16401) \\000E\\000\\0005\357\277\275\\000[Malformed Packet]"
"6","0.001944","192.85.1.126","192.0.0.1","ICMP","1500","Echo (ping) request  id=0x0000, seq=0/0, ttl=255 (no response found!)"
"7","0.005436","38.196.79.22","38.196.79.22","UDP","128","20246  >  20246 Len=82"
"8","0.005555","52.230.72.69","52.230.72.69","TCP","128","20246  >  20246 [ACK] Seq=1 Ack=1 Win=4096 Len=70"
"9","0.005673","180.142.93.97","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=007d)"
"10","0.005893","180.142.93.97","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"11","0.006928","180.142.93.97","192.0.0.1","UDP","128","20246  >  3283 Len=82"
"12","0.007046","192.85.1.2","192.0.0.1","DNS","133","Dynamic update 0x000c Unknown (16401) \\000E\\000\\0005\357\277\275\\000[Malformed Packet]"
"13","0.007499","192.85.1.127","192.0.0.1","ICMP","1500","Echo (ping) request  id=0x0000, seq=0/0, ttl=255 (no response found!)"
"14","0.010991","19.98.39.139","19.98.39.139","UDP","128","10123  >  10123 Len=82"
"15","0.011109","146.117.131.19","146.117.131.19","TCP","128","10123  >  10123 [ACK] Seq=1 Ack=1 Win=4096 Len=70"
"16","0.011228","210.65.137.129","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=007e)"
"17","0.011448","210.65.137.129","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"18","0.012482","210.65.137.129","192.0.0.1","UDP","128","10123  >  3283 Len=82"
"19","0.012601","192.85.1.2","192.0.0.1","DNS","133","Dynamic update 0x000c Unknown (16401) \\000E\\000\\0005\357\277\275\\000[Malformed Packet]"
"20","0.013053","192.85.1.128","192.0.0.1","ICMP","1500","Echo (ping) request  id=0x0000, seq=0/0, ttl=255 (no response found!)"
"21","0.016545","129.183.180.244","129.183.180.244","UDP","128","46324  >  46324 Len=82"
"22","0.016664","193.60.102.184","193.60.102.184","TCP","128","46324  >  46324 [ACK] Seq=1 Ack=1 Win=4096 Len=70"
"23","0.016782","225.38.99.241","192.0.0.1","IPv4","128","Fragmented IP protocol (proto=TCP 6, off=0, ID=007f)"
"24","0.017002","225.38.99.241","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"25","0.018037","225.38.99.241","192.0.0.1","UDP","128","46324  >  3283 Len=82"
"26","0.018155","192.85.1.2","192.0.0.1","DNS","133","Dynamic update 0x000c Unknown (16401) \\000E\\000\\0005\357\277\275\\000[Malformed Packet]"
"27","0.018608","192.85.1.129","192.0.0.1","ICMP","1500","Echo (ping) request  id=0x0000, seq=0/0, ttl=255 (no response found!)"
"28","0.022100","64.219.218.122","64.219.218.122","UDP","128","55930  >  55930 Len=82"
