"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.85.1.2","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"2","0.001136","192.85.1.2","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"3","0.002272","192.85.1.2","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"4","0.003408","192.85.1.2","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"5","0.004544","192.85.1.2","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"6","0.005681","192.85.1.2","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"7","0.006817","192.85.1.2","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"8","0.007953","192.85.1.2","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"9","0.009089","192.85.1.2","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"10","0.010225","192.85.1.2","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"11","0.011361","192.85.1.2","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"12","0.012497","192.85.1.2","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"13","0.013633","192.85.1.2","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"14","0.014769","192.85.1.2","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"15","0.015905","192.85.1.2","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"16","0.017041","192.85.1.2","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"17","0.018177","192.85.1.2","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"18","0.019313","192.85.1.2","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"19","0.020449","192.85.1.2","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"20","0.021585","192.85.1.2","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"21","0.022721","192.85.1.2","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"22","0.023857","192.85.1.2","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"23","0.024993","192.85.1.2","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"24","0.026129","192.85.1.2","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"25","0.027265","192.85.1.2","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"26","0.028401","192.85.1.2","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"27","0.029537","192.85.1.2","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"28","0.030673","192.85.1.2","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"29","0.031809","192.85.1.2","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"30","0.032945","192.85.1.2","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"31","0.034081","192.85.1.2","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"32","0.035217","192.85.1.2","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"33","0.036353","192.85.1.2","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"34","0.037489","192.85.1.2","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"35","0.038625","192.85.1.2","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"36","0.039761","192.85.1.2","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"37","0.040897","192.85.1.2","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"38","0.042033","192.85.1.2","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"39","0.043169","192.85.1.2","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"40","0.044305","192.85.1.2","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"41","0.045441","192.85.1.2","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"42","0.046577","192.85.1.2","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"43","0.047713","192.85.1.2","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"44","0.048849","192.85.1.2","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"45","0.049985","192.85.1.2","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"46","0.051121","192.85.1.2","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"47","0.052257","192.85.1.2","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"48","0.053393","192.85.1.2","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"49","0.054529","192.85.1.2","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"50","0.055665","192.85.1.2","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"51","0.056801","192.85.1.2","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"52","0.057937","192.85.1.2","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"53","0.059073","192.85.1.2","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"54","0.060209","192.85.1.2","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"55","0.061345","192.85.1.2","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"56","0.062482","192.85.1.2","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"57","0.063618","192.85.1.2","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"58","0.064754","192.85.1.2","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"59","0.065890","192.85.1.2","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"60","0.067026","192.85.1.2","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"61","0.068162","192.85.1.2","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"62","0.069298","192.85.1.2","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"63","0.070434","192.85.1.2","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"64","0.071570","192.85.1.2","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"65","0.072706","192.85.1.2","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"66","0.073842","192.85.1.2","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"67","0.074978","192.85.1.2","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"68","0.076114","192.85.1.2","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"69","0.077250","192.85.1.2","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"70","0.078386","192.85.1.2","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"71","0.079522","192.85.1.2","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"72","0.080658","192.85.1.2","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"73","0.081794","192.85.1.2","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"74","0.082930","192.85.1.2","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"75","0.084066","192.85.1.2","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"76","0.085202","192.85.1.2","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"77","0.086338","192.85.1.2","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"78","0.087474","192.85.1.2","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"79","0.088610","192.85.1.2","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"80","0.089746","192.85.1.2","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"81","0.090882","192.85.1.2","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"82","0.092018","192.85.1.2","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"83","0.093154","192.85.1.2","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"84","0.094290","192.85.1.2","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"85","0.095426","192.85.1.2","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"86","0.096562","192.85.1.2","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"87","0.097698","192.85.1.2","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"88","0.098834","192.85.1.2","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"89","0.099970","192.85.1.2","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"90","0.101106","192.85.1.2","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"91","0.102242","192.85.1.2","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"92","0.103378","192.85.1.2","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"93","0.104514","192.85.1.2","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"94","0.105650","192.85.1.2","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"95","0.106786","192.85.1.2","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"96","0.107922","192.85.1.2","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"97","0.109058","192.85.1.2","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"98","0.110194","192.85.1.2","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"99","0.111330","192.85.1.2","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"100","0.112466","192.85.1.2","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"101","0.113602","192.85.1.2","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"102","0.114738","192.85.1.2","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"103","0.115874","192.85.1.2","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"104","0.117010","192.85.1.2","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"105","0.118146","192.85.1.2","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"106","0.119283","192.85.1.2","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"107","0.120419","192.85.1.2","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"108","0.121555","192.85.1.2","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"109","0.122691","192.85.1.2","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"110","0.123827","192.85.1.2","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"111","0.124963","192.85.1.2","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"112","0.126099","192.85.1.2","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"113","0.127235","192.85.1.2","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"114","0.128371","192.85.1.2","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"115","0.129507","192.85.1.2","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"116","0.130643","192.85.1.2","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"117","0.131779","192.85.1.2","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"118","0.132915","192.85.1.2","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"119","0.134051","192.85.1.2","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"120","0.135187","192.85.1.2","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"121","0.136323","192.85.1.2","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"122","0.137459","192.85.1.2","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"123","0.138595","192.85.1.2","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"124","0.139731","192.85.1.2","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"125","0.140867","192.85.1.2","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"126","0.142003","192.85.1.2","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"127","0.143139","192.85.1.2","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"128","0.144275","192.85.1.2","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"129","0.145411","192.85.1.2","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"130","0.146547","192.85.1.2","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"131","0.147683","192.85.1.2","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"132","0.148819","192.85.1.2","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"133","0.149955","192.85.1.2","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"134","0.151091","192.85.1.2","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"135","0.152227","192.85.1.2","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"136","0.153363","192.85.1.2","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"137","0.154499","192.85.1.2","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"138","0.155635","192.85.1.2","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"139","0.156771","192.85.1.2","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"140","0.157907","192.85.1.2","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"141","0.159043","192.85.1.2","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"142","0.160179","192.85.1.2","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"143","0.161315","192.85.1.2","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"144","0.162451","192.85.1.2","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"145","0.163587","192.85.1.2","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"146","0.164723","192.85.1.2","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"147","0.165859","192.85.1.2","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"148","0.166995","192.85.1.2","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"149","0.168131","192.85.1.2","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"150","0.169267","192.85.1.2","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"151","0.170403","192.85.1.2","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"152","0.171539","192.85.1.2","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"153","0.172675","192.85.1.2","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"154","0.173811","192.85.1.2","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"155","0.174947","192.85.1.2","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"156","0.176084","192.85.1.2","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"157","0.177220","192.85.1.2","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"158","0.178356","192.85.1.2","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"159","0.179492","192.85.1.2","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"160","0.180628","192.85.1.2","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"161","0.181764","192.85.1.2","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"162","0.182900","192.85.1.2","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"163","0.184036","192.85.1.2","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"164","0.185172","192.85.1.2","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"165","0.186308","192.85.1.2","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"166","0.187444","192.85.1.2","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"167","0.188580","192.85.1.2","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"168","0.189716","192.85.1.2","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"169","0.190852","192.85.1.2","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"170","0.191988","192.85.1.2","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"171","0.193124","192.85.1.2","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"172","0.194260","192.85.1.2","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"173","0.195396","192.85.1.2","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"174","0.196532","192.85.1.2","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"175","0.197668","192.85.1.2","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"176","0.198804","192.85.1.2","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"177","0.199940","192.85.1.2","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"178","0.201076","192.85.1.2","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"179","0.202212","192.85.1.2","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"180","0.203348","192.85.1.2","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"181","0.204484","192.85.1.2","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"182","0.205620","192.85.1.2","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"183","0.206756","192.85.1.2","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"184","0.207892","192.85.1.2","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"185","0.209028","192.85.1.2","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"186","0.210164","192.85.1.2","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"187","0.211300","192.85.1.2","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"188","0.212436","192.85.1.2","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"189","0.213572","192.85.1.2","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"190","0.214708","192.85.1.2","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"191","0.215844","192.85.1.2","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
"192","0.216980","192.85.1.2","192.0.0.1","MEMCACHE","1400","MEMCACHE Continuation"
