,Category
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,1
12,0
13,0
14,0
15,1
16,0
17,1
18,0
19,0
20,0
21,1
22,1
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,1
32,0
33,1
34,1
35,0
36,1
37,0
38,0
39,1
40,0
41,1
42,1
43,0
44,1
45,0
46,0
47,1
48,1
49,1
50,0
51,0
52,0
53,1
54,1
55,0
56,1
57,1
58,1
59,1
60,1
61,0
62,0
63,0
64,1
65,1
66,1
67,0
68,0
69,1
70,0
71,0
72,0
73,0
74,1
75,1
76,1
77,1
78,0
79,1
80,0
81,1
82,1
83,0
84,0
85,0
86,1
87,0
88,1
89,1
90,1
91,1
92,1
93,0
94,1
95,1
96,1
97,0
98,0
99,1
100,0
101,0
102,1
103,0
104,0
105,0
106,0
107,1
108,0
109,0
110,0
111,0
112,1
113,0
114,0
115,1
116,0
117,0
118,0
119,0
120,0
121,0
122,1
123,0
124,0
125,0
126,0
127,1
128,1
129,0
130,1
131,0
132,0
133,0
134,0
135,0
136,1
137,0
138,0
139,1
140,1
141,1
142,1
143,0
144,1
145,0
146,1
147,1
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,1
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,1
173,1
174,1
175,0
176,0
177,0
178,1
179,1
180,0
181,0
182,0
183,1
184,0
185,1
186,1
187,0
188,0
189,1
190,0
191,1
192,1
193,1
194,0
195,1
196,1
197,0
198,1
199,1
200,1
201,1
202,0
203,1
204,0
205,1
206,1
207,0
208,1
209,0
210,1
211,1
212,1
213,1
214,1
215,0
216,1
217,1
218,0
219,1
220,1
221,0
222,1
223,1
224,1
225,1
226,0
227,1
228,1
229,0
230,1
231,1
232,1
233,0
234,1
235,1
236,0
237,1
238,1
239,0
240,1
241,1
242,0
243,1
244,0
245,1
246,1
247,0
248,1
249,1
250,0
251,1
252,0
253,0
254,1
255,1
256,0
257,1
258,0
259,1
260,1
261,1
262,1
263,1
264,0
265,1
266,1
267,0
268,1
269,1
270,1
271,1
272,1
273,1
274,0
275,1
276,0
277,1
278,1
279,0
280,1
281,1
282,0
283,1
284,1
285,0
286,1
287,1
288,1
289,1
290,1
291,1
292,1
293,1
294,0
295,1
296,0
297,1
298,0
299,1
300,1
301,0
302,1
303,1
304,0
305,1
306,1
307,1
308,1
309,1
310,1
311,0
312,1
313,1
314,1
315,1
316,0
317,1
318,1
319,0
320,1
321,0
322,1
323,1
324,0
325,1
326,1
327,1
328,1
329,1
330,0
331,1
332,1
333,0
334,1
335,0
336,1
337,1
338,1
339,1
340,0
341,1
342,1
343,0
344,1
345,1
346,0
347,1
348,1
349,0
350,1
351,1
352,1
353,0
354,0
355,0
356,0
357,0
358,1
359,0
360,0
361,0
362,0
363,1
364,0
365,0
366,0
367,0
368,0
369,0
370,0
371,0
372,0
373,0
374,0
375,0
376,0
377,0
378,0
379,0
380,0
381,1
382,0
383,0
384,1
385,0
386,0
387,0
388,0
389,0
390,0
391,0
392,0
393,0
394,0
395,1
396,1
397,0
398,0
399,0
400,0
401,0
402,0
403,0
404,0
405,1
406,0
407,0
408,0
409,0
410,0
411,0
412,0
413,0
414,0
415,1
416,0
417,0
418,0
419,0
420,0
421,0
422,0
423,0
424,0
425,0
426,0
427,1
428,0
429,1
430,0
431,0
432,0
433,0
434,0
435,0
436,0
437,0
438,0
439,0
440,0
441,0
442,0
443,0
444,0
445,0
446,0
447,0
448,0
449,1
450,0
451,0
452,1
453,0
454,0
455,0
456,0
457,0
458,0
459,0
460,0
461,0
462,0
463,1
464,1
465,0
466,0
467,0
468,0
469,0
470,0
471,0
472,1
473,0
474,0
475,0
476,0
477,1
478,0
479,0
480,0
481,0
482,1
483,0
484,0
485,0
486,0
487,1
488,0
489,0
490,0
491,0
492,0
493,0
494,0
495,0
496,0
497,1
498,0
499,0
500,0
501,0
502,0
503,1
504,1
505,0
506,0
507,0
508,1
509,0
510,0
511,0
512,0
513,0
514,0
515,0
516,1
517,0
518,0
519,0
520,0
521,1
522,1
523,0
524,0
525,0
526,0
527,0
528,0
529,0
530,0
531,0
532,0
